,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
244,43,Kujundžić,SRB,0,0,3,0.00,0.00,3,2021
245,43,Vucicevic,SRB,0,0,0,,,0,2021
246,43,Gardini,ITA,0,0,1,0.00,0.00,1,2021
247,43,Vitelli,ITA,0,0,4,0.00,0.00,4,2021
248,43,Šket,SLO,0,0,6,0.00,0.00,6,2021
249,43,Jendryk,USA,0,0,0,,,0,2021
250,43,Stahl,USA,0,0,6,0.00,0.00,6,2021
251,43,Alan,BRA,0,0,9,0.00,0.00,9,2021
252,43,Ngapeth,FRA,0,0,55,0.00,0.00,55,2021
253,43,Röhrs,GER,0,0,0,,,0,2021
254,43,Otake,JPN,0,1,3,0.00,0.00,4,2021
255,43,Marshall,CAN,0,0,17,0.00,0.00,17,2021
256,43,Poglajen,ARG,0,0,16,0.00,0.00,16,2021
257,43,Loser Bruno,ARG,0,0,8,0.00,0.00,8,2021
258,43,Palacios,ARG,0,1,3,0.00,0.00,4,2021
259,43,Crer,ARG,0,0,1,0.00,0.00,1,2021
260,43,Massimino,ARG,0,0,12,0.00,0.00,12,2021
261,43,Azeez,AUS,0,0,2,0.00,0.00,2,2021
262,43,Nowakowski,POL,0,0,1,0.00,0.00,1,2021
263,43,S.Ivanov,BUL,0,0,4,0.00,0.00,4,2021
264,43,Muserskiy,RUS,0,0,8,0.00,0.00,8,2021
265,43,Faure,FRA,0,0,2,0.00,0.00,2,2021
266,43,Anderson,USA,0,1,9,0.00,0.00,10,2021
267,43,Maase,GER,0,0,1,0.00,0.00,1,2021
268,43,Danani,ARG,0,0,29,0.00,0.00,29,2021
269,43,Nicolas,ARG,0,0,0,,,0,2021
270,43,Lima B.,ARG,0,0,4,0.00,0.00,4,2021
271,43,Lyutskanov,BUL,0,0,1,0.00,0.00,1,2021
272,43,Douglas-Powell,AUS,0,0,0,,,0,2021
273,43,Nishida,JPN,0,0,2,0.00,0.00,2,2021
274,43,João Rafael,BRA,0,0,2,0.00,0.00,2,2021
275,43,Lucas,BRA,0,0,1,0.00,0.00,1,2021
276,43,Iakovlev,RUS,0,0,0,,,0,2021
277,1,Bruno,BRA,328,5,513,25.23,38.77,846,2022
278,2,Giannelli,ITA,308,4,742,20.53,29.22,1054,2022
279,3,Seganov,BUL,301,8,587,25.08,33.59,896,2022
280,4,Tuaniga,USA,257,1,345,17.13,42.62,603,2022
281,5,Sanchez Pages,ARG,252,0,319,21.00,44.13,571,2022
282,6,Brizard,FRA,241,4,374,21.91,38.93,619,2022
283,7,Zimmermann,GER,227,5,563,20.64,28.55,795,2022
284,8,Ropret,SLO,220,6,440,18.33,33.03,666,2022
285,9,Sekita,JPN,218,1,499,16.77,30.36,718,2022
286,10,Vadi,IRI,214,1,597,16.46,26.35,812,2022
287,11,Jovović,SRB,203,2,543,16.92,27.14,748,2022
288,12,Christenson,USA,189,4,338,27.00,35.59,531,2022
289,13,Keemink,NED,170,2,735,13.08,18.74,907,2022
290,14,Dosanjh,AUS,163,12,427,13.58,27.08,602,2022
291,15,Walsh,CAN,161,5,313,20.12,33.61,479,2022
292,16,De Cecco,ARG,157,1,218,39.25,41.76,376,2022
293,17,Yu Y.C.,CHN,150,5,437,15.00,25.34,592,2022
294,18,Janusz,POL,121,3,510,11.00,19.09,634,2022
295,19,Firlej,POL,120,2,194,15.00,37.97,316,2022
296,20,Butler,AUS,109,2,176,9.08,37.98,287,2022
297,21,Epp,CAN,82,1,162,13.67,33.47,245,2022
298,22,Eiro,JPN,77,2,111,19.25,40.53,190,2022
299,23,Blankenau,CAN,68,4,145,8.50,31.34,217,2022
300,23,Toniutti,FRA,68,1,199,6.80,25.37,268,2022
301,24,D. Dimitrov,BUL,54,2,96,4.50,35.53,152,2022
302,25,Corre,FRA,53,0,94,7.57,36.05,147,2022
303,26,Giraudo,ARG,52,0,87,6.50,37.41,139,2022
304,27,Todorović,SRB,47,0,139,5.88,25.27,186,2022
305,28,Fernando,BRA,44,1,103,3.38,29.73,148,2022
306,29,Oya,JPN,43,3,131,4.78,24.29,177,2022
307,30,Vinčić,SLO,41,1,161,5.12,20.20,203,2022
308,30,Łomacz,POL,41,0,73,5.86,35.96,114,2022
309,31,Kozub,POL,40,0,32,10.00,55.56,72,2022
310,32,Tille,GER,34,1,106,4.86,24.11,141,2022
311,33,Wang H.B.,CHN,31,2,63,3.10,32.29,96,2022
312,34,A. Ramezani,IRI,29,3,58,3.62,32.22,90,2022
313,35,Perry,AUS,24,0,21,3.00,53.33,45,2022
314,36,Shaw,USA,23,0,45,2.88,33.82,68,2022
315,37,Yamamoto,JPN,22,0,35,1.69,38.60,57,2022
316,38,Dagostino,USA,21,0,13,1.40,61.76,34,2022
317,39,Van Solkema,NED,18,6,69,2.25,19.35,93,2022
318,40,Liu M.,CHN,16,0,19,4.00,45.71,35,2022
319,41,Ishikawa,JPN,14,1,36,1.17,27.45,51,2022
320,41,Vulikic,SRB,14,3,76,3.50,15.05,93,2022
321,42,Russell,USA,12,0,18,0.80,40.00,30,2022
322,43,Hazrat,IRI,11,0,48,0.85,18.64,59,2022
323,44,Sbertoli,ITA,10,1,35,0.91,21.74,46,2022
324,45,Thales,BRA,9,0,25,0.69,26.47,34,2022
325,46,Yang Y.M.,CHN,8,0,19,0.80,29.63,27,2022
326,46,Kovačič,SLO,8,0,16,0.80,33.33,24,2022
327,46,De Weijer,NED,8,0,20,1.60,28.57,28,2022
328,47,Planinšič,SLO,7,1,18,1.75,26.92,26,2022
329,47,Andringa,NED,7,0,28,0.54,20.00,35,2022
330,47,Adriano,BRA,7,0,7,0.54,50.00,14,2022
331,47,Maique,BRA,7,1,4,0.54,58.33,12,2022
332,48,Zenger,GER,6,0,70,0.55,7.89,76,2022
333,48,Tuinstra,NED,6,0,20,0.46,23.08,26,2022
334,48,Dervisaj,GER,6,0,21,1.50,22.22,27,2022
335,49,Milad,IRI,5,4,19,0.38,17.86,28,2022
336,49,Smith,USA,5,1,11,0.33,29.41,17,2022
337,49,Ran,JPN,5,0,13,0.38,27.78,18,2022
338,49,Jorna,NED,5,0,17,0.38,22.73,22,2022
339,49,Graham,AUS,5,0,5,0.42,50.00,10,2022
340,49,Falaschi,ITA,5,1,4,1.25,50.00,10,2022
341,50,Yang T.Y.,CHN,4,1,3,0.40,50.00,8,2022
342,50,Pajenk,SLO,4,1,3,0.33,50.00,8,2022
343,50,Jaeschke,USA,4,0,1,0.50,80.00,5,2022
344,50,Barnes,CAN,4,0,9,0.33,30.77,13,2022
345,50,Nimir,NED,4,1,16,0.31,19.05,21,2022
346,50,Rodriguinho,BRA,4,0,6,0.31,40.00,10,2022
347,50,Fazel,IRI,4,0,24,0.80,14.29,28,2022
348,51,Yu Y.T.,CHN,3,0,10,0.30,23.08,13,2022
349,51,Zhang G.H.,CHN,3,0,5,0.30,37.50,8,2022
350,51,Jelveh,IRI,3,0,5,0.23,37.50,8,2022
351,51,Amin,IRI,3,1,11,0.23,20.00,15,2022
352,51,Alan,BRA,3,0,3,0.43,50.00,6,2022
353,51,Heptinstall,AUS,3,1,5,0.25,33.33,9,2022
354,51,V. Ivanov,BUL,3,0,20,0.38,13.04,23,2022
355,51,E. Shoji,USA,3,2,25,0.27,10.00,30,2022
356,52,M.R.Moazzen,IRI,2,0,1,0.25,66.67,3,2022
357,52,Esfandiar,IRI,2,0,13,0.15,13.33,15,2022
358,52,Košenina,SLO,2,0,8,0.17,20.00,10,2022
359,52,Z. Štern,SLO,2,1,15,0.17,11.11,18,2022
360,52,Kolev,BUL,2,0,5,0.17,28.57,7,2022
361,52,Asparuhov,BUL,2,0,4,0.17,33.33,6,2022
362,52,A. Nikolov,BUL,2,0,13,0.17,13.33,15,2022
363,52,Nikolic,SRB,2,0,0,0.50,100.00,2,2022
364,52,Maar,CAN,2,0,22,0.17,8.33,24,2022
365,52,Van Berkel,CAN,2,0,4,0.17,33.33,6,2022
366,52,Nishida,JPN,2,0,5,0.15,28.57,7,2022
367,52,Yamauchi,JPN,2,0,5,0.15,28.57,7,2022
368,52,Van Garderen,NED,2,0,6,0.22,25.00,8,2022
369,52,Ter Horst,NED,2,1,7,0.17,20.00,10,2022
370,52,Plak,NED,2,1,9,0.15,16.67,12,2022
371,52,Flavio,BRA,2,1,5,0.15,25.00,8,2022
372,52,Pope,AUS,2,1,11,0.17,14.29,14,2022
373,52,O'Dea,AUS,2,1,15,0.17,11.11,18,2022
374,52,Kwolek,POL,2,1,6,0.25,22.22,9,2022
375,52,Danani,ARG,2,1,69,0.17,2.78,72,2022
376,52,Palacios,ARG,2,0,24,0.17,7.69,26,2022
377,52,Ngapeth,FRA,2,3,55,0.14,3.33,60,2022
378,52,Louati,FRA,2,1,28,0.14,6.45,31,2022
379,52,Loeppky,CAN,2,1,14,0.25,11.76,17,2022
380,52,Lavia,ITA,2,0,14,0.18,12.50,16,2022
381,52,Śliwka,POL,2,0,10,0.18,16.67,12,2022
382,52,Cooper,CAN,2,0,5,0.29,28.57,7,2022
383,53,Toukhteh,IRI,1,2,4,0.08,14.29,7,2022
384,53,Morteza,IRI,1,0,3,0.08,25.00,4,2022
385,53,Gasparini,SLO,1,1,2,0.12,25.00,4,2022
386,53,Koncilja,SLO,1,0,1,0.08,50.00,2,2022
387,53,Možič,SLO,1,0,17,0.08,5.56,18,2022
388,53,Jendryk,USA,1,0,6,0.07,14.29,7,2022
389,53,Ensing,USA,1,0,15,0.07,6.25,16,2022
390,53,Atanasov,BUL,1,2,9,0.08,8.33,12,2022
391,53,Gotsev,BUL,1,0,4,0.08,20.00,5,2022
392,53,Parapunov,BUL,1,0,8,0.08,11.11,9,2022
393,53,M. Ivanov,BUL,1,2,15,0.12,5.56,18,2022
394,53,Pekovic,SRB,1,1,25,0.08,3.70,27,2022
395,53,Mašulović N.,SRB,1,0,8,0.08,11.11,9,2022
396,53,Marinovic,SRB,1,1,6,0.25,12.50,8,2022
397,53,Hoag,CAN,1,0,19,0.11,5.00,20,2022
398,53,Sclater,CAN,1,1,9,0.08,9.09,11,2022
399,53,Lui,CAN,1,2,21,0.08,4.17,24,2022
400,53,Fromm,GER,1,0,35,0.09,2.78,36,2022
401,53,Brand,GER,1,0,20,0.09,4.76,21,2022
402,53,Otsuka,JPN,1,1,11,0.08,7.69,13,2022
403,53,Parkinson,NED,1,1,3,0.08,20.00,5,2022
404,53,Franco,BRA,1,0,1,0.25,50.00,2,2022
405,53,Senica,AUS,1,1,2,0.08,25.00,4,2022
406,53,Kłos,POL,1,0,4,0.07,20.00,5,2022
407,53,Fornal,POL,1,0,17,0.07,5.56,18,2022
408,53,Poręba,POL,1,0,4,0.12,20.00,5,2022
409,53,Armoa Morel,ARG,1,0,8,0.08,11.11,9,2022
410,53,Lima B.,ARG,1,1,5,0.08,14.29,7,2022
411,53,Ramos,ARG,1,0,5,0.08,16.67,6,2022
412,53,Zerba,ARG,1,0,2,0.08,33.33,3,2022
413,53,Patry,FRA,1,2,9,0.07,8.33,12,2022
414,53,Diez,FRA,1,0,11,0.07,8.33,12,2022
415,53,Pinali,ITA,1,0,2,0.12,33.33,3,2022
416,53,Bottolo,ITA,1,0,10,0.07,9.09,11,2022
417,53,Galassi,ITA,1,0,4,0.07,20.00,5,2022
418,53,Romanò,ITA,1,0,8,0.07,11.11,9,2022
419,53,Vitelli,ITA,1,0,2,0.25,33.33,3,2022
420,53,Balaso,ITA,1,1,41,0.09,2.33,43,2022
421,53,Lucarelli,BRA,1,0,21,0.11,4.55,22,2022
422,53,Zatorski,POL,1,0,18,0.09,5.26,19,2022
423,53,Bieniek,POL,1,0,3,0.09,25.00,4,2022
424,53,Podraščanin,SRB,1,0,1,0.12,50.00,2,2022
425,53,Lisinac,SRB,1,0,1,0.12,50.00,2,2022
426,53,Defalco,USA,1,1,26,0.09,3.57,28,2022
427,53,Muagututia,USA,1,1,2,0.09,25.00,4,2022
428,53,Murch,AUS,1,0,6,0.25,14.29,7,2022
429,53,Aubrey,AUS,1,0,3,0.25,25.00,4,2022
