,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
312,27,Balaso,ITA,39,18,98,3.55,25.16,155,2022
313,27,Zatorski,POL,39,16,85,3.55,27.86,140,2022
314,28,Lavia,ITA,38,18,126,3.45,20.88,182,2022
315,29,Yang Y.M.,CHN,37,19,115,3.70,21.64,171,2022
316,29,Adriano,BRA,37,12,64,2.85,32.74,113,2022
317,30,Kujundžić,SRB,36,18,193,3.00,14.57,247,2022
318,30,Fornal,POL,36,9,84,2.40,27.91,129,2022
319,31,Otsuka,JPN,35,5,82,2.69,28.69,122,2022
320,31,Rodriguinho,BRA,35,6,51,2.69,38.04,92,2022
321,32,Senica,AUS,33,11,74,2.75,27.97,118,2022
322,32,Semeniuk,POL,33,4,98,3.00,24.44,135,2022
323,33,Z. Štern,SLO,31,14,62,2.58,28.97,107,2022
324,33,V. Ivanov,BUL,31,11,96,3.88,22.46,138,2022
325,33,Śliwka,POL,31,13,122,2.82,18.67,166,2022
326,34,Yu Y.T.,CHN,30,19,117,3.00,18.07,166,2022
327,34,Ter Horst,NED,30,10,89,2.50,23.26,129,2022
328,34,Holland,AUS,30,9,50,2.50,33.71,89,2022
329,35,Leal,BRA,28,20,124,3.11,16.28,172,2022
330,36,Kwolek,POL,27,3,69,3.38,27.27,99,2022
331,37,Piccinelli,ITA,24,2,43,3.00,34.78,69,2022
332,38,Koprivica,SRB,22,10,82,1.83,19.30,114,2022
333,38,Lui,CAN,22,9,84,1.83,19.13,115,2022
334,38,Popiwczak,POL,22,10,60,1.47,23.91,92,2022
335,39,Jaeschke,USA,21,2,45,2.62,30.88,68,2022
336,39,Muagututia,USA,21,6,26,1.91,39.62,53,2022
337,40,Pekovic,SRB,20,7,84,1.67,18.02,111,2022
338,41,Armoa Morel,ARG,19,3,43,1.58,29.23,65,2022
339,42,M. Ivanov,BUL,18,7,49,2.25,24.32,74,2022
340,42,Perić,SRB,18,21,185,1.50,8.04,224,2022
341,42,Barnes,CAN,18,6,73,1.50,18.56,97,2022
342,42,Staples,AUS,18,6,37,4.50,29.51,61,2022
343,43,Košenina,SLO,17,8,62,1.42,19.54,87,2022
344,43,Recine,ITA,17,5,72,2.43,18.09,94,2022
345,43,Loeppky,CAN,17,8,94,2.12,14.29,119,2022
346,44,Van Garderen,NED,16,3,57,1.78,21.05,76,2022
347,44,Bottolo,ITA,16,6,77,1.07,16.16,99,2022
348,44,Urnaut,SLO,16,5,76,2.00,16.49,97,2022
349,44,Grebennikov,FRA,16,1,24,5.33,39.02,41,2022
350,45,Katic,SRB,15,5,41,1.25,24.59,61,2022
351,46,Hoag,CAN,14,6,54,1.56,18.92,74,2022
352,46,Garrett,AUS,14,5,58,1.17,18.18,77,2022
353,47,Yang T.Y.,CHN,12,5,26,1.20,27.91,43,2022
354,47,Nicolas,ARG,12,8,43,1.00,19.05,63,2022
355,47,Palonsky,ARG,12,7,48,1.00,17.91,67,2022
356,47,Mouiel,FRA,12,1,43,1.09,21.43,56,2022
357,47,Takanashi,JPN,12,7,49,1.33,17.65,68,2022
358,48,S.Ivanov,BUL,11,1,28,0.92,27.50,40,2022
359,49,M. Elser,CAN,10,4,42,0.83,17.86,56,2022
360,49,Szymura R.,POL,10,5,16,2.50,32.26,31,2022
361,49,Murch,AUS,10,5,32,2.50,21.28,47,2022
362,50,Tomita,JPN,9,0,27,1.12,25.00,36,2022
