,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
268,75,Cebecioğlu,TUR,0,0,0,,,0,2021
269,75,De Tant,BEL,0,0,1,0.00,0.00,1,2021
270,75,Ding X.,CHN,0,0,0,,,0,2021
271,75,Reesink,NED,0,0,0,,,0,2021
272,75,Morello,ITA,0,0,0,,,0,2021
273,75,Wenerska,POL,0,0,0,,,0,2021
274,75,Oude Luttikhuis,NED,0,0,0,,,0,2021
275,1,Pogany,GER,162,11,104,13.50,58.48,277,2022
276,2,Bergmann,BRA,137,15,168,9.13,42.81,320,2022
277,3,Stenzel,POL,132,11,162,11.00,43.28,305,2022
278,4,Gray,CAN,129,16,201,10.75,37.28,346,2022
279,4,Buijs,NED,129,8,117,16.12,50.79,254,2022
280,5,M. Chatchu-On,THA,125,23,319,9.62,26.77,467,2022
281,6,Koga,JPN,119,7,125,9.15,47.41,251,2022
282,7,Kojima,JPN,115,7,122,8.85,47.13,244,2022
283,8,Baladın,TUR,111,10,168,7.40,38.41,289,2022
284,9,Peña Isabel,DOM,105,15,165,8.75,36.84,285,2022
285,9,Pušić,SRB,105,10,205,7.00,32.81,320,2022
286,10,Lozo,SRB,99,12,222,9.00,29.73,333,2022
287,11,Nyeme,BRA,93,8,82,6.20,50.82,183,2022
288,12,Diken,TUR,85,10,119,5.67,39.72,214,2022
289,12,Schoot,NED,85,7,104,7.08,43.37,196,2022
290,13,Li Y.Y.,CHN,82,8,143,6.31,35.19,233,2022
291,13,Gabi,BRA,82,6,126,7.45,38.32,214,2022
292,14,Savelkoel,NED,81,10,160,6.75,32.27,251,2022
293,15,Aköz,TUR,78,6,59,5.20,54.55,143,2022
294,15,Uchiseto,JPN,78,6,49,6.00,58.65,133,2022
295,16,Alsmeier,GER,77,8,94,7.00,43.02,179,2022
296,16,Hayashi,JPN,77,4,66,5.92,52.38,147,2022
297,16,Rampelberg,BEL,77,12,196,6.42,27.02,285,2022
298,17,Sohwi,KOR,76,10,125,6.33,36.02,211,2022
299,18,Pri Daroit,BRA,75,10,116,5.00,37.31,201,2022
300,19,De Gennaro,ITA,71,3,80,4.73,46.10,154,2022
301,20,Stigrot,GER,70,5,74,5.83,46.98,149,2022
302,21,Dahye,KOR,68,2,107,5.67,38.42,177,2022
303,22,K. Ajcharaporn,THA,67,16,215,5.15,22.48,298,2022
304,23,Łukasik,POL,66,5,80,5.50,43.71,151,2022
305,24,Degradi,ITA,64,15,187,5.33,24.06,266,2022
306,25,Lazović,SRB,62,11,115,4.13,32.98,188,2022
307,25,Guilliams,BEL,62,9,139,7.75,29.52,210,2022
308,26,Johnson,CAN,61,21,163,5.08,24.90,245,2022
309,26,Bosetti,ITA,61,11,72,8.71,42.36,144,2022
310,27,Górecka,POL,60,10,68,5.00,43.48,138,2022
311,27,Herbots,BEL,60,5,162,5.00,26.43,227,2022
312,28,Janiska,GER,59,0,53,4.92,52.68,112,2022
313,29,Bajema,USA,58,5,67,7.25,44.62,130,2022
314,30,Jeongah,KOR,57,8,89,4.75,37.01,154,2022
315,31,P. Piyanut,THA,55,6,93,5.00,35.71,154,2022
316,32,S. Sahin,TUR,53,7,73,4.82,39.85,133,2022
317,33,Gong X.Y.,CHN,52,8,84,4.00,36.11,144,2022
318,34,Frantti,USA,51,3,76,5.67,39.23,130,2022
319,34,Wang Y.L.,CHN,51,7,105,3.92,31.29,163,2022
320,34,Buša,SRB,51,14,106,4.64,29.82,171,2022
321,35,Peralta,DOM,50,5,79,4.17,37.31,134,2022
322,35,Todorova,BUL,50,10,96,4.17,32.05,156,2022
323,36,Van Gestel,BEL,49,7,163,4.08,22.37,219,2022
324,37,Milenković,SRB,48,5,85,4.36,34.78,138,2022
325,38,Cook,USA,46,4,68,5.11,38.98,118,2022
326,39,Szlagowska,POL,44,5,117,3.67,26.51,166,2022
327,39,Plummer,USA,44,10,91,4.89,30.34,145,2022
328,40,Orthmann,GER,42,7,59,3.50,38.89,108,2022
329,40,Minkyoung,KOR,42,5,40,3.50,48.28,87,2022
330,41,Ishikawa,JPN,40,1,28,3.08,57.97,69,2022
331,42,Parsons,USA,39,2,40,4.33,48.15,81,2022
332,43,Rodriguez,DOM,38,9,39,4.75,44.19,86,2022
333,43,Larysmer,DOM,38,9,105,3.17,25.00,152,2022
334,43,Wang W.Y.,CHN,38,16,148,2.92,18.81,202,2022
335,43,Pietrini,ITA,38,4,76,5.43,32.20,118,2022
336,44,Paskova,BUL,37,10,196,3.08,15.23,243,2022
337,44,Murmann,CAN,37,8,67,3.08,33.04,112,2022
338,44,M. Jasper,NED,37,5,70,3.08,33.04,112,2022
339,44,Wong-Orantes,USA,37,8,52,4.11,38.14,97,2022
340,45,İvegin,TUR,35,7,74,3.18,30.17,116,2022
341,45,Yordanova,BUL,35,17,171,4.38,15.70,223,2022
342,46,Aydın,TUR,31,0,40,4.43,43.66,71,2022
343,47,Vanjak,GER,30,2,32,2.50,46.88,64,2022
344,47,Guillen,DOM,30,4,33,3.75,44.78,67,2022
345,47,Hanbi,KOR,30,1,58,2.50,33.71,89,2022
346,48,Hentz,USA,29,2,20,2.23,56.86,51,2022
347,48,Ran,KOR,29,0,16,7.25,64.44,45,2022
348,49,Natinha,BRA,27,8,53,1.80,30.68,88,2022
349,50,Aykaç,TUR,26,5,33,1.73,40.62,64,2022
350,50,Jin Y.,CHN,26,7,83,2.00,22.41,116,2022
351,51,Martinez,DOM,24,8,124,2.00,15.38,156,2022
352,52,Perinelli,ITA,22,4,60,5.50,25.58,86,2022
353,52,Yamagishi,JPN,22,1,24,1.69,46.81,47,2022
354,53,Mitrovic,CAN,21,4,32,1.75,36.84,57,2022
355,53,Stragier,BEL,21,4,18,2.10,48.84,43,2022
356,54,Palermo,CAN,20,1,38,2.50,33.90,59,2022
357,55,Dimitrova,BUL,19,3,74,4.75,19.79,96,2022
358,56,Fersino,ITA,17,1,20,1.13,44.74,38,2022
359,57,Gennari,ITA,16,2,62,1.45,20.00,80,2022
360,58,Kingdon,USA,15,2,40,1.88,26.32,57,2022
361,58,Yerim,KOR,15,5,39,1.25,25.42,59,2022
362,59,Różański,POL,14,2,40,1.17,25.00,56,2022
363,59,Sylla,ITA,14,1,49,1.27,21.88,64,2022
364,60,Knollema,NED,13,4,40,1.08,22.81,57,2022
365,61,Livingston,CAN,12,3,24,1.00,30.77,39,2022
366,62,Fedusio,POL,11,1,37,0.92,22.45,49,2022
367,62,Guerra,ITA,11,1,16,2.75,39.29,28,2022
368,62,Cebecioğlu,TUR,11,0,3,2.75,78.57,14,2022
369,63,Milanova A.,BUL,10,4,44,0.83,17.24,58,2022
370,64,Maglio,CAN,8,1,8,0.67,47.06,17,2022
371,64,Timmerman,NED,8,1,4,0.67,61.54,13,2022
372,65,Gaila,DOM,7,1,7,0.58,46.67,15,2022
373,65,K. Pimpichaya,THA,7,0,16,0.54,30.43,23,2022
374,65,Szczygłowska,POL,7,0,3,0.58,70.00,10,2022
375,65,Seonwoo,KOR,7,1,10,1.00,38.89,18,2022
376,65,Shimamura,JPN,7,0,5,0.54,58.33,12,2022
377,65,Inoue,JPN,7,0,5,0.54,58.33,12,2022
378,66,Weitzel,GER,6,1,5,0.50,50.00,12,2022
379,66,White,USA,6,1,1,1.50,75.00,8,2022
380,66,Ogawa,JPN,6,1,0,0.46,85.71,7,2022
381,66,Stevanović,SRB,6,0,4,0.40,60.00,10,2022
382,66,Plak,NED,6,1,28,0.50,17.14,35,2022
383,66,Aylin,TUR,6,1,6,1.50,46.15,13,2022
384,67,J. Sasipapron,THA,5,3,16,0.50,20.83,24,2022
385,67,Ni F.F.,CHN,5,2,17,0.38,20.83,24,2022
386,68,Georgiadis,CAN,4,0,2,1.00,66.67,6,2022
387,68,Wang Y.Y.,CHN,4,1,8,0.31,30.77,13,2022
388,68,Czyrniańska,POL,4,1,22,0.50,14.81,27,2022
389,69,Schölzel,GER,3,3,3,0.25,33.33,9,2022
390,69,Ana Cristina,BRA,3,1,2,0.27,50.00,6,2022
391,69,Hall,USA,3,0,3,0.38,50.00,6,2022
392,69,K.Kaewkalaya,THA,3,2,3,0.23,37.50,8,2022
393,69,Chirichella,ITA,3,0,2,0.20,60.00,5,2022
394,69,Aleksić,SRB,3,0,8,0.20,27.27,11,2022
395,69,Lohuis,NED,3,0,4,0.25,42.86,7,2022
396,69,S.Nattaporn,THA,3,4,17,0.75,12.50,24,2022
397,70,Karina,BRA,2,2,3,0.50,28.57,7,2022
398,70,Dixon,USA,2,0,1,0.25,66.67,3,2022
399,70,Rettke,USA,2,0,2,0.22,50.00,4,2022
400,70,B. Hattaya,THA,2,0,4,0.20,33.33,6,2022
401,70,Vasileva,BUL,2,1,10,0.17,15.38,13,2022
402,70,Dahyeon,KOR,2,1,3,0.17,33.33,6,2022
403,70,Demeyer,BEL,2,1,13,0.20,12.50,16,2022
404,70,Mirosavljevic,SRB,2,0,15,0.17,11.76,17,2022
405,70,Tapp,USA,2,1,0,0.22,66.67,3,2022
406,70,Caraballo,DOM,2,0,7,0.50,22.22,9,2022
407,71,Bock,GER,1,1,5,0.12,14.29,7,2022
408,71,Hippe,GER,1,1,0,0.08,50.00,2,2022
409,71,Cekulaev,GER,1,0,1,0.08,50.00,2,2022
410,71,Diana,BRA,1,0,0,0.12,100.00,1,2022
411,71,Carol,BRA,1,0,1,0.07,50.00,2,2022
412,71,Kisy,BRA,1,0,2,0.07,33.33,3,2022
