,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
158,92,Weir,AUS,18,11,15,1.20,40.91,44,2021
159,92,Van Der Ent,NED,18,0,14,1.64,56.25,32,2021
160,93,Sossenheimer,GER,17,7,17,1.42,41.46,41,2021
161,93,Averill,USA,17,3,7,2.43,62.96,27,2021
162,94,Wiltenburg,NED,16,5,13,1.14,47.06,34,2021
163,94,Christenson,USA,16,2,18,1.33,44.44,36,2021
164,94,Palacios,ARG,16,8,16,1.45,40.00,40,2021
165,95,Vitelli,ITA,15,3,16,1.36,44.12,34,2021
166,96,B. Sander,USA,14,10,17,1.27,34.15,41,2021
167,96,Huber,POL,14,2,6,1.17,63.64,22,2021
168,96,Palonsky,ARG,14,8,16,1.17,36.84,38,2021
169,97,Ropret,SLO,12,1,6,0.71,63.16,19,2021
170,97,van Zeist,NED,12,2,12,1.00,46.15,26,2021
171,98,Seganov,BUL,11,3,4,0.73,61.11,18,2021
172,98,Grozdanov,BUL,11,4,8,3.67,47.83,23,2021
173,98,Baxpöhler,GER,11,1,4,1.10,68.75,16,2021
174,98,Simic,SRB,11,0,2,0.92,84.62,13,2021
175,98,Blankenau,CAN,11,1,14,0.79,42.31,26,2021
176,98,Lyutskanov,BUL,11,7,16,1.22,32.35,34,2021
177,99,Kobzar,RUS,10,2,10,0.67,45.45,22,2021
178,100,van Schie,NED,9,11,14,0.75,26.47,34,2021
179,100,Semyshev,RUS,9,6,11,1.12,34.62,26,2021
180,100,Bruno,BRA,9,0,5,0.53,64.29,14,2021
181,100,Nicolas,ARG,9,8,11,1.80,32.14,28,2021
182,101,Gueye,FRA,8,2,4,0.50,57.14,14,2021
183,101,Zimmermann,GER,8,2,9,0.53,42.11,19,2021
184,101,Reza,IRI,8,3,1,0.73,66.67,12,2021
185,101,De Cecco,ARG,8,1,14,0.53,34.78,23,2021
186,101,S. Marouf,IRI,8,0,12,0.62,40.00,20,2021
187,102,K. Shoji,USA,7,0,1,0.54,87.50,8,2021
188,102,Sbertoli,ITA,7,3,8,0.47,38.89,18,2021
189,103,Lyneel,FRA,6,7,6,0.86,31.58,19,2021
190,103,Aubrey,AUS,6,4,6,0.40,37.50,16,2021
191,103,Vaccari,BRA,6,2,2,0.60,60.00,10,2021
192,103,Crer,ARG,6,1,2,2.00,66.67,9,2021
193,104,Jovović,SRB,5,1,6,0.33,41.67,12,2021
194,104,Pankov,RUS,5,0,1,0.33,83.33,6,2021
195,104,Spirito,ITA,5,4,8,0.33,29.41,17,2021
196,104,Matheus,BRA,5,3,0,1.00,62.50,8,2021
197,104,Gardini,ITA,5,1,8,0.42,35.71,14,2021
198,104,Röhrs,GER,5,3,4,0.38,41.67,12,2021
199,105,Kovač,SRB,4,3,8,0.27,26.67,15,2021
200,105,Videčnik,SLO,4,0,2,0.29,66.67,6,2021
201,105,Tuaniga,USA,4,1,1,0.80,66.67,6,2021
202,106,Vadi,IRI,3,0,5,0.33,37.50,8,2021
203,106,Lisinac,SRB,3,0,4,3.00,42.86,7,2021
204,106,Jorna,NED,3,5,13,0.50,14.29,21,2021
205,106,Fernando,BRA,3,1,2,0.18,50.00,6,2021
206,106,Uriarte,ARG,3,0,6,0.30,33.33,9,2021
207,106,Marshall,CAN,3,6,13,0.23,13.64,22,2021
208,106,Keemink,NED,3,0,7,0.30,30.00,10,2021
209,106,V.Stankov,BUL,3,1,2,0.30,50.00,6,2021
210,106,João Rafael,BRA,3,0,3,0.75,50.00,6,2021
211,107,Fujii,JPN,2,0,2,0.22,50.00,4,2021
212,107,P. Fayazi,IRI,2,1,13,0.18,12.50,16,2021
213,107,Štalekar,SLO,2,3,3,0.18,25.00,8,2021
214,107,De Weijer,NED,2,1,4,0.18,28.57,7,2021
215,107,Hanes,USA,2,0,1,0.50,66.67,3,2021
216,107,Drzyzga,POL,2,1,4,0.12,28.57,7,2021
217,107,Łomacz,POL,2,0,0,0.12,100.00,2,2021
218,107,Todorović,SRB,2,0,1,0.15,66.67,3,2021
219,107,Sanchez Pages,ARG,2,0,0,0.29,100.00,2,2021
220,108,Toniutti,FRA,1,0,2,0.07,33.33,3,2021
221,108,Butler,AUS,1,0,0,0.07,100.00,1,2021
222,108,Sekita,JPN,1,1,5,0.07,14.29,7,2021
223,108,A. Shafiei,IRI,1,3,7,0.17,9.09,11,2021
224,108,Van Solkema,NED,1,1,0,0.08,50.00,2,2021
225,108,Walsh,CAN,1,1,4,0.10,16.67,6,2021
226,108,Demyanenko,CAN,1,1,1,0.12,33.33,3,2021
227,108,Meyer,FRA,1,0,0,0.33,100.00,1,2021
