,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
852,6,Ishikawa,JPN,124,37,131,13.78,42.47,292,2024
853,7,Stysiak,POL,113,33,100,14.12,45.93,246,2024
854,7,Gabi,BRA,113,26,99,14.12,47.48,238,2024
855,8,Peña Isabel,DOM,110,46,153,12.22,35.60,309,2024
856,9,Ana Cristina,BRA,101,35,112,12.62,40.73,248,2024
857,10,Hayashi,JPN,96,25,96,10.67,44.24,217,2024
858,11,M. Chatchu-On,THA,92,43,110,11.50,37.55,245,2024
859,12,Bjelica,SRB,91,29,140,11.38,35.00,260,2024
860,13,Sohwi,KOR,90,34,144,10.00,33.58,268,2024
861,14,Dambrink,NED,89,29,81,9.89,44.72,199,2024
862,14,Larson,USA,89,14,100,9.89,43.84,203,2024
863,15,Gong X.Y.,CHN,86,25,85,9.56,43.88,196,2024
864,16,Gaila,DOM,85,32,98,10.62,39.53,215,2024
865,17,Alsmeier,GER,84,32,103,9.33,38.36,219,2024
866,18,Yuan X.Y.,CHN,81,8,52,9.00,57.45,141,2024
867,18,Stigrot,GER,81,28,108,9.00,37.33,217,2024
868,19,Łukasik,POL,80,22,101,10.00,39.41,203,2024
869,20,Antropova,ITA,79,26,80,8.78,42.70,185,2024
870,21,Yordanova,BUL,77,39,117,8.56,33.05,233,2024
871,21,Jiyun J.,KOR,77,29,129,8.56,32.77,235,2024
872,22,Rosamaria,BRA,76,28,98,10.86,37.62,202,2024
873,23,Gicquel,FRA,75,31,95,8.33,37.31,201,2024
874,23,A. Skinner,USA,75,26,85,8.33,40.32,186,2024
875,24,Egonu,ITA,73,26,63,14.60,45.06,162,2024
876,25,K. Pimpichaya,THA,72,23,119,9.00,33.64,214,2024
877,26,Mędrzyk,POL,71,22,66,8.88,44.65,159,2024
878,26,Karakurt,TUR,71,35,88,8.88,36.60,194,2024
879,27,Kindermann,GER,70,27,79,7.78,39.77,176,2024
880,28,Paskova,BUL,69,19,140,7.67,30.26,228,2024
881,29,Bukilić,SRB,67,25,69,7.44,41.61,161,2024
882,30,Weitzel,GER,66,8,44,7.33,55.93,118,2024
883,31,S. Wipawee,THA,65,21,96,8.12,35.71,182,2024
884,32,Marring,NED,63,19,63,7.00,43.45,145,2024
885,33,Knollema,NED,62,13,81,6.89,39.74,156,2024
886,33,Wang Y.Y.,CHN,62,10,46,6.89,52.54,118,2024
887,34,Bosetti,ITA,60,27,63,6.67,40.00,150,2024
888,34,Nikolova M.,BUL,60,32,57,12.00,40.27,149,2024
889,35,Baijens,NED,59,15,47,6.56,48.76,121,2024
890,35,Thompson,USA,59,17,70,11.80,40.41,146,2024
891,36,Maglio,CAN,57,11,40,6.33,52.78,108,2024
892,37,Dudova,BUL,55,45,76,6.11,31.25,176,2024
893,38,Jeongah,KOR,52,34,117,5.78,25.62,203,2024
894,38,B. Hattaya,THA,52,10,46,6.50,48.15,108,2024
895,39,Buijs,NED,46,17,48,5.11,41.44,111,2024
896,39,Danesi,ITA,46,6,26,5.11,58.97,78,2024
897,40,Wu M.J.,CHN,45,14,55,5.00,39.47,114,2024
898,40,Uzelac,SRB,45,18,71,11.25,33.58,134,2024
899,41,Rotar,FRA,44,21,85,4.89,29.33,150,2024
900,41,Cebecioğlu,TUR,44,16,40,5.50,44.00,100,2024
901,42,Mitrovic,CAN,43,16,64,4.78,34.96,123,2024
902,42,Jineiry,DOM,43,7,51,4.78,42.57,101,2024
903,43,Lozo,SRB,42,17,76,5.25,31.11,135,2024
904,44,Schalk,FRA,41,19,73,4.56,30.83,133,2024
905,45,İvegin,TUR,40,15,42,5.00,41.24,97,2024
906,45,Martinez,DOM,40,8,58,8.00,37.74,106,2024
907,45,Lazović,SRB,40,7,61,8.00,37.04,108,2024
908,46,Degradi,ITA,38,9,25,4.22,52.78,72,2024
909,46,Sylla,ITA,38,9,33,7.60,47.50,80,2024
910,47,N. Thatdao,THA,37,13,33,4.62,44.58,83,2024
911,48,S. Thanacha,THA,36,16,30,4.50,43.90,82,2024
912,48,Guillen,DOM,36,14,40,4.00,40.00,90,2024
913,49,M. Jasper,NED,35,30,67,3.89,26.52,132,2024
914,49,Ndiaye,FRA,35,14,41,3.89,38.89,90,2024
915,49,Drewniok,GER,35,18,35,8.75,39.77,88,2024
916,49,Frantti,USA,35,15,42,4.38,38.04,92,2024
917,50,Dahyeon,KOR,33,12,42,3.67,37.93,87,2024
918,51,Yamada,JPN,31,6,36,3.44,42.47,73,2024
919,52,Plummer,USA,30,15,38,6.00,36.14,83,2024
920,53,White,CAN,29,4,40,3.22,39.73,73,2024
921,53,Osmajic,SRB,29,13,28,3.22,41.43,70,2024
922,53,Ivanović,SRB,29,13,26,5.80,42.65,68,2024
923,54,Krivoshiyska,BUL,28,10,31,3.11,40.58,69,2024
924,54,Tapia,DOM,28,8,38,3.11,37.84,74,2024
925,55,Plak,NED,27,11,45,3.00,32.53,83,2024
926,55,Juah,KOR,27,6,34,3.00,40.30,67,2024
927,55,Schölzel,GER,27,7,29,3.00,42.86,63,2024
928,55,Ogbogu,USA,27,12,21,3.00,45.00,60,2024
929,55,Rettke,USA,27,2,26,5.40,49.09,55,2024
930,55,Zhu T.,CHN,27,6,19,5.40,51.92,52,2024
931,56,Timmerman,NED,26,4,24,2.89,48.15,54,2024
932,56,Diana,BRA,26,5,15,3.25,56.52,46,2024
933,56,Cekulaev,GER,26,7,29,2.89,41.94,62,2024
934,57,Carol,BRA,25,5,18,3.12,52.08,48,2024
935,57,Inoue,JPN,25,6,33,2.78,39.06,64,2024
936,57,Araki,JPN,25,6,15,2.78,54.35,46,2024
937,57,Peralta,DOM,25,16,40,2.78,30.86,81,2024
938,57,Erdem,TUR,25,9,21,6.25,45.45,55,2024
939,58,B. Saykova,BUL,24,11,29,3.00,37.50,64,2024
940,58,Kalaç,TUR,24,7,25,3.00,42.86,56,2024
941,58,Kurtagić,SRB,24,12,37,3.00,32.88,73,2024
942,59,Alagierska,POL,23,4,14,2.88,56.10,41,2024
943,59,Sylves,FRA,23,10,36,2.56,33.33,69,2024
944,59,Olinga Andela,FRA,23,4,19,2.56,50.00,46,2024
945,59,Eve,DOM,23,7,20,2.56,46.00,50,2024
946,59,Lubian,ITA,23,4,18,4.60,51.11,45,2024
947,60,M. Skinner,USA,22,7,31,5.50,36.67,60,2024
948,61,Becheva,BUL,21,14,29,2.33,32.81,64,2024
949,61,Jiyun M.,KOR,21,20,30,2.33,29.58,71,2024
950,62,Brie,CAN,20,1,20,2.22,48.78,41,2024
951,62,Arıcı,TUR,20,8,16,2.50,45.45,44,2024
952,62,Hall,USA,20,3,20,4.00,46.51,43,2024
953,62,Cuttino,USA,20,12,24,5.00,35.71,56,2024
954,62,Thaisa,BRA,20,4,13,5.00,54.05,37,2024
955,63,Lohuis,NED,19,3,21,2.11,44.19,43,2024
956,63,Milenković,SRB,19,9,35,2.38,30.16,63,2024
957,64,Korneluk,POL,18,4,4,4.50,69.23,26,2024
958,64,Aydın,TUR,18,8,29,2.57,32.73,55,2024
959,64,Mirković,SRB,18,0,10,2.25,64.29,28,2024
960,64,Smarzek,POL,18,7,15,4.50,45.00,40,2024
961,64,Jurczyk,POL,18,4,14,4.50,50.00,36,2024
962,65,Johnson,CAN,17,7,40,1.89,26.56,64,2024
963,65,Baladın,TUR,17,6,18,2.43,41.46,41,2024
964,65,Fedusio,POL,17,2,28,4.25,36.17,47,2024
965,65,Washington,USA,17,4,10,4.25,54.84,31,2024
966,66,Wang Y.L.,CHN,16,11,27,2.00,29.63,54,2024
967,66,Güneş,TUR,16,3,8,2.67,59.26,27,2024
968,66,Tainara,BRA,16,2,9,4.00,59.26,27,2024
969,66,Mijatović,SRB,16,7,14,3.20,43.24,37,2024
970,66,Weske,GER,16,9,22,3.20,34.04,47,2024
971,67,Stoyanova,BUL,15,15,34,1.67,23.44,64,2024
972,67,Cambi,ITA,15,1,9,1.67,60.00,25,2024
973,67,Julia Kudiess,BRA,15,5,10,3.75,50.00,30,2024
974,67,Gonzalez,DOM,15,4,7,1.67,57.69,26,2024
975,67,Bauer,FRA,15,4,27,3.00,32.61,46,2024
976,68,Bonifacio,ITA,14,5,15,1.56,41.18,34,2024
977,68,Hoyoung,KOR,14,9,18,1.56,34.15,41,2024
978,68,Iwasaki,JPN,14,3,13,1.56,46.67,30,2024
979,68,Watanabe,JPN,14,2,28,1.56,31.82,44,2024
980,68,Wada,JPN,14,5,22,1.75,34.15,41,2024
981,68,Haewegene,FRA,14,12,34,2.80,23.33,60,2024
982,69,Kisy,BRA,13,4,18,2.60,37.14,35,2024
983,69,Bergmann,BRA,13,5,14,1.62,40.62,32,2024
984,70,Akrari,ITA,12,3,9,3.00,50.00,24,2024
985,70,Bah,FRA,12,7,19,2.00,31.58,38,2024
986,70,Lanier,USA,12,5,10,3.00,44.44,27,2024
987,70,Fahr,ITA,12,3,8,2.40,52.17,23,2024
988,70,Cazaute,FRA,12,3,12,2.40,44.44,27,2024
989,71,Gałkowska,POL,11,6,10,2.75,40.74,27,2024
990,71,Kästner,GER,11,1,17,1.38,37.93,29,2024
991,71,Butler,USA,11,2,6,2.75,57.89,19,2024
992,71,O'Neal,USA,11,4,8,3.67,47.83,23,2024
993,72,Barakova,BUL,10,0,13,1.11,43.48,23,2024
994,72,E. Şahin,TUR,10,1,25,1.25,27.78,36,2024
995,72,K. Ajcharaporn,THA,10,6,9,2.50,40.00,25,2024
996,73,Airi,JPN,9,4,12,1.00,36.00,25,2024
997,73,J. Sasipapron,THA,9,10,21,2.25,22.50,40,2024
998,73,Marte,DOM,9,4,6,1.00,47.37,19,2024
999,74,Elouga,FRA,8,4,3,2.00,53.33,15,2024
1000,74,Diouf,FRA,8,6,16,2.00,26.67,30,2024
1001,74,Poulter,USA,8,4,5,0.89,47.06,17,2024
